backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_pipeline,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,0.83
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_projection,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.0,0.57
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_repetition,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,12.0,0.57
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_substitution,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,18.0,0.76
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_weakening,3,0.0,0.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0,7.0,0.4
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:boolean,2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.57
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function,4,0.0,50.0,50.0,0.0,0.0,25.0,25.0,0.0,0.0,60.25,95.3
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_application,4,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,55.75,140.06
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_arithmetic,12,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,18.08,1.34
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,120.5,8.97
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_composition,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,208.0,46.76
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,16.0,2.28
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_float,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17.0,397.01
local,Qwen/Qwen3.5-2B,constrained_direct,fun,fun:function_higher_order,2,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,102.5,26.92
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:arithmetic,2,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,13.0,0.78
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:assignment,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,82.67,4.47
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:boolean,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,55.0,2.91
